run,tow_speed_nom,TSR_nom,num_revs,water_dens,Re_c,lead_lag,flapwise,thrust,torque,mean_tow_speed,std_tow_speed,mean_TSR,std_TSR_per_rev,mean_CP,std_CP_per_rev,mean_CT,std_CT_per_rev,mean_CQ,std_CQ_per_rev,mean_CMx,std_CMx_per_rev,mean_CMy,std_CMy_per_rev,std_omega_per_rev,TSR_p,CP_p,CT_p,U_inf_p,Re_c_p,sys_unc_CP,unc_CP,exp_unc_CP,sys_unc_CT,unc_CT,exp_unc_CT,sys_unc_CQ,unc_CQ,exp_unc_CQ,sys_unc_CMx,unc_CMx,exp_unc_CMx,sys_unc_CMy,unc_CMy,exp_unc_CMy,DOF_TSR,DOF_CP,DOF_CT,DOF_CQ,DOF_CMx,DOF_CMy
0,1.1,4,23,996.671236667896,236203.652021929,7.81317545080708,32.8481544153331,336.932975436475,24.7146963649196,1.09994530260826,0.000208442889194693,4.00022575286393,0.000683855573423422,0.417550780498667,0.00330086038475055,0.711542805808213,0.00321742820938592,0.104381230388625,0.000825618132988524,0.0329810447048045,0.000559756501833656,0.138740962276054,0.000747621296362266,4.92755087992653e-05,3.89631412282681,0.385849270479935,0.675056237406246,1.12927997782762,236924.276621638,0.0077956565156242,0.00782735706727789,0.01452636320735,0.00482632343383433,0.00487482679327758,0.0144850465600628,0.00194881630976177,0.0021237971155599,0.00394143037935062,0.000192540921384586,0.000226526286083817,0.000398470357488265,0.00181187268515669,0.00181887022128821,0.00337587600907446,23.9146012710456,8.12502800418095,8.31101399671385,8.12516305352526,14.2596356525483,8.11871707231577
1,1,4,25,996.670742937135,214741.006441105,6.39072414235271,26.9704012523574,277.457850785484,20.3252879892745,0.999942671114933,0.000192863498363865,4.00023373747849,0.000532118382318978,0.415492681757498,0.00544156181705011,0.708958674086826,0.00490532525269531,0.103863014701512,0.00135832901483401,0.0326832370156588,0.000713798396373298,0.137829018418068,0.00129279415503472,8.37370320213635e-05,3.89782394911855,0.384391639220367,0.673123299053263,1.02621474462511,215385.019111261,0.00943295463068671,0.00949812654456809,0.0176027773439804,0.00583994212426918,0.00592515960470698,0.017539618450327,0.00235810471579968,0.00273543286664172,0.00506959743330072,0.000232978119707483,0.000274787755440692,0.000482909759577061,0.00219240028068998,0.00220822489519074,0.00409187562801569,28.159713960089,8.21390881131859,8.45566911434017,8.2132825721783,14.4561015824397,8.22355265675724
2,1.6,4,22,996.669138180217,343641.821121243,17.1869110735515,70.9182589035879,728.095703994897,54.2862779043836,1.59997716415059,0.000212770794749674,4.00006782230436,0.000625866418544253,0.433475103732127,0.00544154335003095,0.726698174132874,0.00565567781117684,0.108364199098361,0.00136463886416491,0.0343087660367911,0.000324136140130629,0.141565209773553,0.00098356514073677,5.89438272796987e-05,3.88618374395352,0.39749538115866,0.685908240643365,1.64686427416055,344792.658541635,0.00368429412129896,0.00387092262071692,0.00704342222299339,0.00228103746385781,0.00259351261755803,0.00686681617561589,0.000921056976206039,0.00167309988989278,0.00304397533010846,9.09995509009833e-05,0.000115256137299104,0.000200075445669837,0.000856334279126962,0.000882822225965589,0.0016188074967459,22.0109720667234,9.62906233822407,12.7173493007435,9.63955333615525,17.6515326746941,8.97590884495018
3,1.5,4,25,996.669486822885,322150.838075717,14.899041499159,61.9626687697067,635.501968418326,47.1267692046668,1.49995383990908,0.00027784406787178,4.00015697408298,0.000845942698096994,0.428218428198023,0.00379183473501661,0.721741414314139,0.00367952175199507,0.107050333414431,0.000946459739766323,0.0338307874099139,0.000180988193435755,0.140739681611293,0.000725944337861983,7.13948681581526e-05,3.88905758365342,0.393520508883013,0.682207210092588,1.54280328446007,323205.636908486,0.00419209130980443,0.00426294655457188,0.00786386542314194,0.00259539779738164,0.00270189003109226,0.00778421134762626,0.00104799233865999,0.00142527134230321,0.00262926243076728,0.000103540605986997,0.000109934165200366,0.000199200813216797,0.000974349859640153,0.000985553540681648,0.00182256346446807,24.8204228174447,8.52914446530187,9.31796987009376,8.52748658665565,10.0250890273402,8.35783923706297
4,1.7,4,22,996.668783599267,365130.226829101,19.3518127845265,79.9375241973411,820.839983089361,61.1412909159723,1.69995153995703,0.000251015490889377,4.00012190182782,0.000645142915659958,0.432470635484445,0.00425308660633203,0.725723355852001,0.00435255364674759,0.108114156837854,0.00107015911011727,0.0342204140266343,0.000320202333063617,0.141349612219329,0.000672214604387406,7.58164190863107e-05,3.88487337282261,0.396157194840905,0.684507770178461,1.75038224787425,366369.289343309,0.00326372730055454,0.00339312315342902,0.0062000295466934,0.00202063172319123,0.00223272977299892,0.00606790269759215,0.00081590792447257,0.00136582631585931,0.00249518603298613,8.0610949706461e-05,0.000106679351231706,0.000184116351947149,0.000758574079370042,0.000772626928579609,0.00142430372246751,21.8461096816226,9.26167507583096,11.5349043292795,9.2784614827692,19.7249858500276,8.57713619338216
5,1.6,4,22,996.669235208662,343637.807439147,17.1174268346255,70.8321708598436,727.157714814854,54.1234416874135,1.59996967543692,0.00021517241860763,4.00009580692837,0.00057999664584433,0.432164573999508,0.00345522096666252,0.725758838404965,0.00359919617797156,0.10803777936216,0.000865096149746524,0.034167312554183,0.000170572806298746,0.141393837972756,0.000646333716732012,6.36488040786952e-05,3.88646176104716,0.396370368640003,0.685110060384447,1.64675027915452,344787.263579872,0.00368433969043595,0.0037606995928026,0.0069259520329527,0.00228105858318977,0.00241248742001546,0.00682560067379498,0.000921065507147047,0.001277650460812,0.00235294099422506,9.10003918607385e-05,9.83186219689176e-05,0.000177092391598096,0.000856342210878405,0.00086787943254583,0.0016035469564247,22.1726048554672,8.64715185836569,9.86497809422324,8.64913659914809,10.6557379328239,8.41751510900673
6,1.2,4,18,996.670353578977,257698.970659125,9.44630310580776,39.2441265116102,403.247589578559,29.6762609429726,1.19994852401472,0.000225419695803128,4.00022678012539,0.000684582449764346,0.421317156279466,0.00377531024005622,0.715523374045036,0.00423197834850554,0.105322569522555,0.000941595949437985,0.0335482265975175,0.000732099701609642,0.139274710338986,0.000795940154803378,6.32251352859462e-05,3.89434896251396,0.388740599511421,0.67814775657358,1.2325721877366,258502.380597248,0.00655039207591929,0.00661407939140673,0.0122424268550882,0.00405540127914996,0.00418327477150338,0.0121271535053903,0.00163752616600316,0.00190269492824965,0.00352189400563905,0.000161785836184891,0.000240213035171571,0.000411908091112976,0.00152245698347991,0.00153464692742101,0.00284284265098328,17.9979278147456,8.29666405726957,8.98179124569767,8.29528253048335,22.7187747182886,8.24390080540918
7,1.9,4,17,996.66980190107,408046.146736361,24.3004959627142,100.19451728514,1028.25466321226,76.8076764690429,1.89996212399376,0.00024177603453558,4.0000832437519,0.000563155007938976,0.434920298921537,0.00523018304006835,0.727783500112839,0.00492950183036399,0.108727719335528,0.0013126489013514,0.0343988952243921,0.000454910057989672,0.141833296856438,0.000837130073925082,0.000129312887535184,3.88054036674915,0.397081090916235,0.684933735966373,1.95849184331961,409484.766974384,0.00261271641946217,0.00292163704163674,0.00521136709531492,0.00161759638415195,0.00203356025986467,0.0050887546721488,0.000653166553863132,0.00150245270522447,0.0026793681713371,6.45323001457089e-05,0.000130760717785578,0.000223964915028357,0.000607268589348093,0.000642319478258657,0.00116626107893856,16.5280777315618,11.8858546918985,16.6443635866223,11.9164384498878,23.3534818816035,9.82709274661947
8,1.8,4,19,996.667872972515,386644.380754287,21.7073716950312,89.6644572842117,920.254579374683,68.5918438507635,1.79998927750829,0.000212313446403999,4.00003535135083,0.000547521989111787,0.432739681616353,0.00448876392753464,0.725708267718512,0.00457163572945487,0.108183550432904,0.00112515259535679,0.0342349854750884,0.000409933189910054,0.141416882341548,0.000741636875184653,6.49738538744771e-05,3.88301471682388,0.395860658036681,0.683868318822373,1.85423472924019,387977.314703724,0.00291097172975334,0.00309728032135337,0.00561043659194978,0.00180227445663004,0.00209983241591868,0.00546544678811283,0.000727737594024906,0.00136598021373258,0.00247407113084845,7.18998271915123e-05,0.000120438493498823,0.000205555476022452,0.000676599502011008,0.000698816030663717,0.0012805609444949,18.7779712891234,10.0576540659092,13.6405587419712,10.0687759254787,25.5508478468823,9.02772499623874
9,1.3,4,23,996.671312407003,279148.713230427,11.1726052932397,46.4546567640651,476.923881963278,35.3251754104273,1.29995821232411,0.000232233563022132,4.00014398253489,0.000601543097944731,0.427279664933792,0.00334517000261696,0.72106231281807,0.00333113443544421,0.106815518150776,0.000835149119162795,0.0337905883325525,0.00038116309404021,0.140471513786225,0.000689748413359457,7.20887142685172e-05,3.89177128541107,0.393484184581441,0.682521235906831,1.33615766169719,280037.198639332,0.00558121669450589,0.00562659964223925,0.0104217991693523,0.0034554129289202,0.00352764268336368,0.0103612790320881,0.00139525726085439,0.00163582402512299,0.00302996563713366,0.000137849962463428,0.000160020278769439,0.00028235087149998,0.00129721238114708,0.00130552100420711,0.00242012062015668,23.7785106261665,8.25112224684685,8.65443545945292,8.25044970432802,13.6539958972679,8.19743439881961
