run,tow_speed_nom,TSR_nom,num_revs,water_dens,Re_c,lead_lag,flapwise,thrust,torque,mean_tow_speed,std_tow_speed,mean_TSR,std_TSR_per_rev,mean_CP,std_CP_per_rev,mean_CT,std_CT_per_rev,mean_CQ,std_CQ_per_rev,mean_CMx,std_CMx_per_rev,mean_CMy,std_CMy_per_rev,std_omega_per_rev,TSR_p,CP_p,CT_p,U_inf_p,Re_c_p,sys_unc_CP,unc_CP,exp_unc_CP,sys_unc_CT,unc_CT,exp_unc_CT,sys_unc_CQ,unc_CQ,exp_unc_CQ,sys_unc_CMx,unc_CMx,exp_unc_CMx,sys_unc_CMy,unc_CMy,exp_unc_CMy,DOF_TSR,DOF_CP,DOF_CT,DOF_CQ,DOF_CMx,DOF_CMy
0,1.9,2.4,11,996.663718243839,268422.443385404,27.994727671163,64.6528475512287,746.939883420873,92.0969982835706,1.90002445828818,0.000321111501800129,2.39997392601156,0.000388544153544508,0.312867732911567,0.00112524435914457,0.528644195424798,0.00156826442495172,0.130362040045584,0.000466731879077591,0.0396279160774444,0.000200236842647795,0.0915174590526775,0.000237752257264925,0.000101785069272965,2.35584539045608,0.295924934631493,0.509382465781671,1.93561478064275,269744.68043125,0.00156749408695591,0.00160737525158891,0.00295604433357126,0.00161749797962952,0.00169181708372013,0.00293327384992846,0.000653127793949749,0.000816209793418955,0.00150118816677765,6.45285429230587e-05,9.04069254375399e-05,0.000157042949736978,0.000607232183319386,0.000611868889585407,0.00113380785412243,10.4254091117493,8.75175639852088,9.37102075677953,8.74495366322493,17.4431396557972,8.22325663941674
1,2,2.6,9,996.664498758445,300104.487562907,31.7722876715507,79.0728780507798,891.544625389271,104.075569581303,2.00005375293905,0.000215279120801002,2.59996404064097,0.000327371296121612,0.345673192023563,0.00154641620364547,0.569457088040649,0.00189422581890614,0.132952658034546,0.000598038129731372,0.0405875209535753,0.000293175146935181,0.101013330413163,0.000528379449554182,7.5738286760052e-05,2.54586797366591,0.324542299661922,0.546006830545256,2.04255204542393,301595.865556436,0.00153248636282773,0.00162709552166236,0.00295556208225404,0.00145975051693876,0.00160604576626536,0.00292472266974159,0.00058943091371203,0.000865901037777057,0.00157256111077649,5.82353827860182e-05,0.000118892044123187,0.000210493750240191,0.000548011328331963,0.000578977133675486,0.00105341915243685,8.35705167983281,9.78736406486259,10.8922867176339,9.80644392804865,13.0454985369104,9.63523854247203
2,2,2.9,12,996.665258408917,327020.902401236,31.961041984589,89.7661224804489,981.413212899348,104.276943453728,1.99999317960377,0.000227452754044726,2.90001789205207,0.000427925149341567,0.386326238252283,0.00169196304655882,0.626885737826978,0.0016461547137382,0.13321460983966,0.000586984816858888,0.0408359202293077,0.000228792065410529,0.114675776144808,0.000556090252312236,6.33759616747269e-05,2.8304952508636,0.359202594476632,0.597189132280906,2.04911702397784,328601.659466081,0.00170946510522535,0.00178396186661107,0.00325768316149364,0.00145983841607374,0.00154190659878071,0.00324332973991841,0.000589466170358741,0.000850496546338793,0.00155279369960909,5.82388702089757e-05,9.0279986320397e-05,0.000156114875124332,0.000548044173326496,0.000573118498282338,0.00104574847900106,11.3855964617324,9.31434099304254,9.70596015040565,9.33042276705428,18.9791269898925,9.38143653572301
3,1.9,3.6,17,996.664400685756,372267.035824736,26.2802085038661,95.1628288036922,996.751939868899,84.1083908194276,1.89999423521412,0.000223333640135181,3.60001629675574,0.000294591833892803,0.428612544762981,0.00429391490567759,0.705458249274538,0.00436536381867175,0.119058233735492,0.00119616678180069,0.0372024830438695,0.000396096916362304,0.134705451807414,0.000762751508863915,9.30894638312568e-05,3.49788579314929,0.393159120000278,0.66599908703725,1.95546985093371,373761.174174023,0.00235134411783947,0.00258479703972479,0.00463329691219696,0.00161755019976499,0.00195128002299055,0.00453225299524969,0.000653148065603615,0.00139529326705917,0.00250071705556962,6.45305116464728e-05,0.000118194690575883,0.000202235522072776,0.000607251308916354,0.00063648724943898,0.00115963219062625,17.8435839891723,11.2304389319354,14.9510891382437,11.2491471764177,23.9458611071308,9.51284786818779
4,1.6,4.8,26,996.664741265815,405372.442686861,14.2968604111003,75.8627174001175,751.960816304332,44.1276597066676,1.59998152773745,0.000182541389865885,4.80006673703392,0.000904852226843268,0.42281560721873,0.00376753687179962,0.750511372823781,0.00381088597024313,0.0880850333698232,0.000787997582749611,0.0285402573131134,0.000270707867523308,0.151434106919648,0.000708168868059223,6.72196748939438e-05,4.65557063201463,0.385769548695158,0.706006283660892,1.64964055283548,406408.68094749,0.00442112341546904,0.00448487520651593,0.0082825050124356,0.00228103538614088,0.00240500239250236,0.00814779327112317,0.000921055931127413,0.00122234276137977,0.00225726084338887,9.09993781757633e-05,0.000105887661273402,0.000186635223431794,0.000856333451981665,0.000867967226806721,0.00160354561428819,25.7111889162225,8.45101680025087,9.77380198150081,8.45462298186929,13.8589512465262,8.42452674526656
5,1.7,4.4,24,996.664692333796,397851.296412013,17.8963299988487,83.4365130437454,842.163402212414,55.8326652660347,1.69999215092818,0.000217023108617887,4.4000740570749,0.000863782364323563,0.434391860859971,0.00401156749174291,0.744567402499891,0.00391008045670251,0.0987231617805336,0.00091490490808423,0.0316497487510343,0.000271181309012875,0.14753241962021,0.000683277147811997,7.85052466214295e-05,4.26759697740595,0.396325410040015,0.700407590833784,1.75276423714143,399046.832975067,0.00358986042116002,0.00368602486567914,0.00677033262415857,0.00202054371426187,0.00217883552770719,0.0066425159393065,0.000815872250550063,0.00124060148371488,0.00227850390619826,8.06073928321744e-05,9.84627480383971e-05,0.000171851690950094,0.000758540991284013,0.00077180504624048,0.00142339745377771,23.5776049810072,8.84582352744367,10.6015661572053,8.85184253583481,16.0805752458816,8.54668035114215
6,1.8,3.6,17,996.663983707517,352685.664289043,23.6210527229934,85.4085545121152,894.475003894875,75.4562577143727,1.79998497508623,0.000218202899565956,3.59999346581757,0.000553001518886095,0.428419072748098,0.00457831822613523,0.705373409234382,0.00436178422309532,0.11900744674994,0.00126845013713858,0.0372496388108517,0.000361869901324245,0.134705034056391,0.000742091386535518,0.000102337379718218,3.49956850748828,0.39355656234896,0.666568303276457,1.85163803337888,354075.52804152,0.00261988097896544,0.00285899260320417,0.00513632577697215,0.00180228985635316,0.00210649503366619,0.00504466136762593,0.000727743964997244,0.00149637474865263,0.00268866371580155,7.19004977992311e-05,0.000115559706111502,0.000197875529586898,0.000676605334528224,0.000701579293690653,0.00128368837713347,16.599051487436,10.9556106049585,13.6518833075733,10.9401025876123,23.5069776135419,9.14932991642139
7,1.6,2.1,11,996.665126071906,205505.877621602,18.3996389905619,38.6805637992808,468.191235542406,61.2831097150039,1.59996051554828,0.000277247316593672,2.10005933310478,0.000252835768605058,0.25691212544692,0.000630319656630039,0.467308140855667,0.00113377018279106,0.12233521541498,0.000297903119724795,0.0367296508652669,0.000120189661695196,0.0772154740185808,9.79892669292676e-05,9.23329666997032e-05,2.06893843236243,0.245658959580543,0.453560631070107,1.62402706659553,206487.276359167,0.0019343218145354,0.00194456451915156,0.0036071443924121,0.00228109146588437,0.00230909544161301,0.00359592803489286,0.000921079920824171,0.000972629999621437,0.00180428189697644,9.1001847972263e-05,9.86199361805255e-05,0.000177841672048372,0.000856355226780269,0.000856915669174865,0.00159298532251979,11.3890064429464,8.15458886080324,8.359990474166,8.15228746334984,10.526642681927,8.01904704500592
8,1.9,4.2,20,996.663364998956,426465.574523104,23.0969985378036,101.916599027054,1036.30153431213,72.7199892988124,1.89998199737185,0.000226632384535412,4.20006897764048,0.000606082077524732,0.432354764217473,0.00513984397042156,0.733468362522412,0.00496758875717469,0.102938832548953,0.0012248079555883,0.0326947857210931,0.000374442416139715,0.144267342400237,0.000884924923267192,0.000100614235110554,4.07288031855786,0.394253834514266,0.68971843969793,1.95931498622148,427863.518274214,0.00274330003712812,0.00298598659372898,0.00536639391109818,0.00161757306306549,0.00197871898663107,0.00521640259245317,0.000653157082367948,0.0014162359280136,0.0025451387334392,6.45313423984687e-05,0.00010744122307174,0.000183185300906207,0.000607259823462878,0.000640296703036953,0.00116362957276283,19.6404623872348,10.9131945459632,15.8406968431356,10.9183269636401,26.2655002677655,9.74278738450504
9,1.8,3.8,18,996.663535044615,369700.315753143,22.7896733108014,87.8901040617968,911.888467904865,72.3638347669916,1.80001174083936,0.000227428487295171,3.79997780382865,0.000599230436881502,0.433678148072547,0.00313949718317366,0.719080620738725,0.00319735228197055,0.114125396677516,0.000829290166561981,0.0359392719550509,0.00024622794457466,0.138615086880294,0.000514299606374745,6.7899765173662e-05,3.69051662713384,0.39727008118834,0.678249992441018,1.85340031027923,371072.918073184,0.00276532777606875,0.00286824483754495,0.00524708472900244,0.00180223723615843,0.00196199276782098,0.00515599135015498,0.000727722625867834,0.00112149750176432,0.00205141365320942,7.18983712856135e-05,9.34651835710886e-05,0.000161983925803226,0.000676585541712734,0.000687987688178455,0.00126933771565899,17.5786819662456,9.16461577017578,10.8856964522081,9.1734969194898,18.1878697486825,8.51772436485267
