tsr,t1,t2
1,16,28.5
1.1,16,28.5
1.2,16,28.5
1.3,16,28.5
1.4,16,28.5
1.5,16,28.5
1.6,16,28.5
1.7,16,28.5
1.8,15.5,28.5
1.9,15.5,28.5
2,15.5,28.5
2.05,15.5,28.5
2.1,15.5,28.5
2.15,15.5,28.5
2.2,15.5,28.5
2.3,15.5,28.5
2.4,15.5,28.5
2.45,15.5,28.5
2.5,15.5,28.5
2.55,15.5,28.5
2.6,15.5,28.5
2.7,15.5,28.5
2.8,15.5,28.5
2.9,15.5,28.5
3,15.5,28.5
3.2,15,28.5
3.4,13.5,28.5
3.5,13.5,28.5
3.6,13.5,28.5
3.8,13,28.5
4,12.5,28.5
4.1,12.5,28.5
4.2,12.5,28.5
4.3,12,28.5
4.4,12,28.5
4.5,12,28.5
4.6,12,28.5
4.7,12,28.5
4.8,12,28.5
4.9,12,28.5
5,12,28.5
5.2,11.5,28.5
5.4,11.5,28.5
5.5,11.5,28.5
5.6,11.5,28.5
5.8,11,28.5
6,11,28.5
6.2,11,28.5
6.4,11,28.5
6.5,11,28.5
6.6,11,28.5
6.8,10.5,28.5
7,10.5,28.5
7.2,10.5,28.5
7.4,10.5,28.5
7.5,10.5,28.5
7.6,10.5,28.5
7.8,10.5,28.5
8,10.5,28.5
