tsr,t1,t2
1,15.5,37
1.1,15.5,37
1.2,15.5,37
1.3,15.5,37
1.4,15.5,37
1.5,15.5,37
1.6,15.5,37
1.7,15.5,37
1.8,15,37
1.9,15.5,37
2,15.5,37
2.05,15.5,37
2.1,15.5,37
2.15,15.5,37
2.2,15,37
2.3,15,37
2.4,15,37
2.45,15,37
2.5,15,37
2.55,15,37
2.6,15,37
2.7,15,37
2.8,14,37
2.9,14,37
3,14,37
3.2,14,37
3.4,14,37
3.5,14,37
3.6,13.5,37
3.8,13.5,37
4,13.5,37
4.1,13.5,37
4.2,13.5,37
4.3,13.5,37
4.4,13.5,37
4.5,13.5,37
4.6,13.5,37
4.7,13.5,37
4.8,13,37
4.9,13,37
5,13,37
5.2,13,37
5.4,13,37
5.5,13,37
5.6,13,37
5.8,13,37
6,12,37
6.2,12,37
6.4,12,37
6.5,12,37
6.6,12,37
6.8,12,37
7,12,37
7.2,12,37
7.4,12,37
7.5,12,37
7.6,12,37
7.8,12,37
8,12,37
