tsr,t1,t2
1,12,22
1.25,12,22
1.5,12,22
1.75,12,22
2,12,22
2.1,12,22
2.2,12,22
2.25,12,22
2.3,12,22
2.4,12,22
2.5,12,22
2.6,12,22
2.7,12,22
2.8,12,22
2.9,12,22
3,12,22
3.1,12,22
3.2,11.5,22
3.3,11.5,22
3.4,11.5,22
3.5,11.5,22
3.6,11.5,22
3.7,11.5,22
3.8,11.5,22
3.9,11.5,22
4,11.5,22
4.1,11.5,22
4.2,11.5,22
4.25,11.5,22
4.3,11.5,22
4.4,11.5,22
4.5,11.5,22
4.6,11.5,22
4.7,11.5,22
4.75,11.5,22
4.8,11.5,22
4.9,11.5,22
5,11.5,22
5.25,11.5,22
5.5,11.5,22
5.75,11.5,22
6,11.25,22
6.5,11,22
7,11,22
7.5,11,22
8,11,22
