tsr,t1,t2
1,12.5,18.25
1.25,12.5,18.25
1.5,12.5,18.25
1.75,12.5,18.25
2,12.5,18.25
2.1,12.5,18.25
2.2,12.5,18.25
2.25,12.5,18.25
2.3,12.5,18.25
2.4,12.5,18.25
2.5,12.5,18.25
2.6,12.5,18.25
2.7,12.5,18.25
2.8,12,18.25
2.9,12,18.25
3,12,18.25
3.1,12,18.25
3.2,12,18.25
3.3,12,18.25
3.4,12,18.25
3.5,12,18.25
3.6,12,18.25
3.7,12,18.25
3.8,12,18.25
3.9,12,18.25
4,12,18.25
4.1,12,18.25
4.2,12,18.25
4.25,12,18.25
4.3,12,18.25
4.4,12,18.25
4.5,12,18.25
4.6,12,18.25
4.7,12,18.25
4.75,12,18.25
4.8,12,18.25
4.9,12,18.25
5,12,18.25
5.25,12,18.25
5.5,12,18.25
5.75,12,18.25
6,12,18.25
6.5,12,18.25
7,12,18.25
7.5,12.5,18.25
8,12,18.25
